"Region","Purpose","Height","Length","Volume","Year_Completed","Surface","Inspection_Freq","Distance_to_City","Hazard","Assessment","Prob_Fail","Loss_gf_Prop","Loss_gf_Liab","Loss_gf_BI"
"Lyndrassia","Recreation",16.119,0.4,33000,1982,0.04728,3,13.52,"High","Unsatisfactory",0.1421,30.9,948.3,6.5
"Lyndrassia","Irrigation",15.807,0.317,150000,2003,0.44916,3,87.32,"High","Not Rated",0.1011,141.8,215.8,26.2
"Lyndrassia","Recreation",17.347,0.207,44600,1964,0.06895,3,13.52,"High","Unsatisfactory",0.1338,7.6,732.8,4.3
"Navaldia","Recreation",9.04,0.207,46948,1964,0.09653,2,6.58,"Significant","Unsatisfactory",0.1771,453.8,472.6,16.6893692502802
"Flumevale","Debris Control",12.253,0.138,4826,1941,0.09653,3,33.79,"Significant","Not Rated",0.1454,461.4,341.7,16.5168728930142
"Lyndrassia","Recreation",14.26,0.167,20300,1988,0.06304,3,13.52,"High","Unsatisfactory",0.1413,39.5,576.5,3.6
"Lyndrassia","Recreation",13.282,0.145,80000,1964,0.0394,3,21.46,"High","Unsatisfactory",0.1369,17.8,250.2,6.5
"Navaldia","Recreation",9.04,0.207,35000,1964,0.09653,2,11.57,"Significant","Not Rated",0.1373,68.1,175.4,12.761395423757
"Navaldia","Recreation",9.103,0.067,177810,1964,0.09653,2,10.75,"Significant","Fair",0.1439,333.9,179.7,32.398311280861
"Flumevale","Other",3.858,0.03,4826,1899,0.09653,3,11.67,"Significant","Not Rated",0.1324,223.3,368.4,13.9106661618368
"Lyndrassia","Recreation",14.285,0.207,44600,1964,0.08668,3,13.52,"High","Unsatisfactory",0.1388,10,755.7,3.7
"Lyndrassia","Recreation",13.691,0.225,20300,2002,0.17336,3,13.52,"High","Unsatisfactory",0.1534,26,495.2,5.2
"Navaldia","Other",9.04,0.207,44150,1964,0.09653,2,6.16,"Significant","Poor",0.1527,39.4,421.5,14.1664581837639
"Lyndrassia","Recreation",40.912,0.162,294000,1981,0.09653,1,17.39,"High","Satisfactory",0.0874,910.7,208.7,4.1
"Lyndrassia","Recreation",13.32,0.197,44600,1964,0.03349,3,13.52,"High","Unsatisfactory",0.1325,15.9,952.6,7.6
"Lyndrassia","Recreation",13.752,0.15,125000,1981,0.06304,3,13.52,"High","Unsatisfactory",0.1381,33.2,932.1,8.7
"Lyndrassia","Recreation",13.08,0.292,80000,1986,0.05516,3,13.52,"High","Unsatisfactory",0.1368,18.2,454.3,6.7
"Lyndrassia","Other",12.642,0.133,60160,2002,0.08077,3,3.3,"High","Not Rated",0.0951,27.1,863.9,18.198830286563
"Navaldia","Recreation",3.419,0.207,15000,1964,0.09653,2,16.06,"Significant","Not Rated",0.1362,271.6,123.8,5.6
"Lyndrassia","Recreation",14.216,0.175,33000,2012,0.03743,3,1.54,"High","Unsatisfactory",0.1175,12.7,552.7,9.5
"Lyndrassia","Recreation",14.396,0.207,450000,2018,0.09653,3,9.43,"High","Not Rated",0.0792,939.5,181,29.6430906048567
"Lyndrassia","Recreation",28.472,0.207,29111,1964,0.09653,3,2.43,"Significant","Satisfactory",0.1325,375.1,318.3,15.0659358790282
"Flumevale","Other",13.878,0.073,51500,1949,0.09653,1,0.16,"High","Not Rated",0.102,925.1,619.9,32.3491037394261
"Navaldia","Recreation",9.04,0.207,15000,1964,0.09653,2,11.28,"Significant","Not Rated",0.1365,429.3,42.4,3
"Lyndrassia","Recreation",14.637,0.225,50000,1964,0.11426,3,4.94,"High","Not Rated",0.111,30.4,927.7,4.9
"Flumevale","Hydroelectric",5.452,2.467,139400,1988,0.09653,1,16.83,"Significant","Satisfactory",0.1362,441.6,446,78.2
"Flumevale","Recreation",3.451,0.207,22250,1964,0.00788,1,1.66,"Significant","Satisfactory",0.1192,8.6,196.4,32.0480619433796
"Flumevale","Hydroelectric",0.346,0.207,26300,1988,0.09653,1,10.97,"Significant","Not Available",0.1111,112.7,257.4,35.5766497193592
"Navaldia","Recreation",2.825,0.067,43626,1964,0.06501,2,7.67,"Significant","Poor",0.1398,6.7,235.1,5.2
"Flumevale","Hydroelectric",12.066,0.207,30000,1965,0.09653,1,75.25,"Significant","Satisfactory",0.1101,171.3,216,55.9
"Navaldia","Debris Control",4.704,0.027,105630,1966,0.09653,1,1.67,"High","Fair",0.1113,662.4,805.4,30.8308079781965
"Flumevale","Flood Risk Reduction",27.419,0.347,220000,1971,0.00788,1,6.32,"High","Satisfactory",0.1104,16.4,201.5,48.8146523401788
"Navaldia","Recreation",3.001,0.163,5550,1964,0.00591,3,1.64,"High","Fair",0.0916,40.3,690.1,4.6
"Navaldia","Flood Risk Reduction",7.397,0.025,393060,1999,0.09653,2,4.91,"Significant","Satisfactory",0.121,185.5,218.2,49.6873110649491
"Navaldia","Recreation",3.452,0.047,46948,1964,0.09653,5,4.7,"High","Fair",0.0753,611,934.6,10.2364929175449
"Navaldia","Recreation",3.556,0.06,11014,1973,0.00394,2,21.8,"Significant","Satisfactory",0.1378,28.1,103.3,4.6
"Lyndrassia","Flood Risk Reduction",13.925,0.1,30000,1989,0.00788,2,7.74,"High","Satisfactory",0.0905,10.8,129.6,12.7146568447141
"Navaldia","Flood Risk Reduction",6.819,0.067,105890,1948,0,5,0.16,"High","Fair",0.0985,39.2,851.5,29.8216116404652
"Navaldia","Recreation",10.606,0.053,1e+05,2008,0.02364,5,1.67,"Significant","Fair",0.1097,8,865.3,10.7180285499208
"Navaldia","Flood Risk Reduction",4.227,0.083,44309,1991,0.00591,2,27.06,"Significant","Fair",0.1357,47.1,418.9,7.43099850224815
"Navaldia","Flood Risk Reduction",3.41,0.063,149140,1985,0.09653,2,27.79,"Significant","Fair",0.1433,373.8,255.4,32.9271257830255
"Navaldia","Recreation",5.836,0.027,30356,1964,0.00394,3,11.57,"Significant","Not Rated",0.1649,13.3,322.8,22.4145057245224
"Lyndrassia","Recreation",14.781,0.108,190000,1996,0.09653,3,1.69,"High","Not Rated",0.1556,479.6,579.1,6.2
"Flumevale","Fire Protection, Stock, Or Small Fish Pond",3.977,0.115,2773,1983,0.00788,2,11.26,"Significant","Satisfactory",0.1354,39.8,121.9,30.2807689253719
"Lyndrassia","Other",22.852,0.1,43000,1993,0.00788,2,9.62,"Significant","Satisfactory",0.114,35.1,293.8,8.88113317421364
"Navaldia","Recreation",2.784,0.133,18661,1964,0.01379,2,1.61,"High","Poor",0.1141,36.1,107.1,14.2534230927449
"Flumevale","Tailings",8.658,0.267,392400,1964,0.09653,3,4.75,"High","Not Available",0.1235,844.9,374.4,46.2355379890174
"Navaldia","Recreation",5.355,0.123,10983,1965,0.00788,3,11.57,"Significant","Not Rated",0.1451,7.9,446.3,14.2677216967318
"Navaldia","Flood Risk Reduction",6.12,0.04,393060,1992,0.09653,2,4.91,"Significant","Satisfactory",0.1106,186.3,161.6,58.6123872554253
"Navaldia","Flood Risk Reduction",3.336,0.123,165180,1964,0.09653,1,3.11,"High","Satisfactory",0.1017,532.3,925.3,26.7489853237265
"Navaldia","Recreation",9.399,0.133,62960,1948,0,2,2.3,"High","Poor",0.13,41.8,596.3,20.0774744425313
"Flumevale","Other",10.679,0.08,10501,1964,0.09653,3,1.67,"Significant","Not Available",0.1661,306.3,365.5,38.5176116177947
"Navaldia","Fire Protection, Stock, Or Small Fish Pond",4.746,0.11,78700.0000000001,1990,0.00788,5,3.22,"Significant","Not Rated",0.0923,19,308.6,16.5858704728051
"Navaldia","Recreation",4.217,0.143,35000,2021,0.00788,5,11.46,"Significant","Fair",0.1184,7.5,369,7.11732679995236
"Navaldia","Flood Risk Reduction",3.556,0.053,165180,1998,0.09653,1,2.33,"High","Satisfactory",0.1039,625.3,716.1,25.3269563447133
"Navaldia","Flood Risk Reduction",3.25,0.117,112269,1994,0.09653,1,1.67,"High","Fair",0.096,632.1,897.7,28.7367299668051
"Navaldia","Recreation",9.04,0,13030,1982,0,3,19.26,"Significant","Not Rated",0.1722,36.1,42.1,5.5
"Flumevale","Water Supply",7.299,0.253,8461,1964,0.09653,3,1.67,"Significant","Not Available",0.1451,312.7,887.2,47.5
"Navaldia","Flood Risk Reduction",4.295,0.1,93565.0000000001,1948,0,5,1.56,"High","Fair",0.0574,42.9,263.9,8.63974743994763
"Navaldia","Recreation",4.178,0.067,58906,1973,0.00591,2,20.24,"Significant","Poor",0.1479,25,424.5,6.3
"Lyndrassia","Other",14.982,0.07,45000,1988,0.00394,2,9.2,"High","Satisfactory",0.1094,9.9,248.4,11.0727079189492
"Navaldia","Water Supply",6.807,0.067,26600,1915,0.00788,1,1.67,"High","Poor",0.1269,35.4,874.2,17
"Navaldia","Recreation",5.159,0.117,44600,1964,0.01773,5,4.18,"High","Fair",0.0779,37.4,797.4,7.35088939427114
"Lyndrassia","Fire Protection, Stock, Or Small Fish Pond",15.395,0.073,55000,1989,0.00197,5,9.51,"Significant","Not Rated",0.1375,28.9,162.5,12.8359443323694
"Navaldia","Flood Risk Reduction",8.209,0.083,95741,1934,0,5,4.63,"High","Fair",0.074,37.9,914.9,8.89603979618962
"Navaldia","Recreation",3.262,0.173,35000,1964,0.01576,5,4.18,"High","Fair",0.087,26,594.1,7.18003952163216
"Navaldia","Flood Risk Reduction",8.942,0.09,162651,1964,0,5,0.16,"High","Fair",0.0881,27.2,305,24.0755810946371
"Navaldia","Recreation",7.121,0.024,75000,1964,0.00591,3,11.57,"Significant","Not Rated",0.111,23.1,392.8,19.1331419414102
"Navaldia","Recreation",7.888,0.1,14961,1964,0.02955,2,17.15,"Significant","Satisfactory",0.1212,5.9,71.8,8.3
"Navaldia","Flood Risk Reduction",3.884,0.058,4140,2009,0.00788,5,19.18,"Significant","Fair",0.1218,9.4,124.5,17.8237894590127
"Navaldia","Recreation",3.242,0.04,18000,1936,0.02167,2,16.83,"Significant","Fair",0.1364,6.1,252.1,6
"Navaldia","Recreation",5.459,0.039,30356,1964,0.00788,3,11.57,"Significant","Not Rated",0.1546,32.1,400.2,18.8886137485698
"Flumevale","Water Supply",4.43,0.083,23019,1999,0.00788,2,11.38,"Significant","Fair",0.1314,18.3,151.7,15
"Flumevale","Water Supply",5.94,0.032,43100,1964,0.09653,3,1.63,"High","Not Available",0.0765,719.6,565.6,15.9
"Flumevale","Flood Risk Reduction",11.071,0.095,21140,2005,0.00788,1,1.66,"High","Fair",0.1114,43.7,816.2,32.1916615803867
"Navaldia","Recreation",5.156,0.183,89000,1982,0.03349,1,4.84,"High","Fair",0.1167,15.5,887.5,8.2
"Flumevale","Water Supply",13.753,0.033,265000,1964,0.09653,3,7.67,"High","Not Available",0.1083,672.7,452.4,51.7
"Lyndrassia","Recreation",16.055,0.053,43000,1999,0.00394,3,7.69,"Significant","Satisfactory",0.1143,37.2,379.4,8.88113317421364
"Navaldia","Recreation",4.496,0.07,30356,1964,0.09653,3,10.75,"Significant","Fair",0.1312,127.5,319.7,7.53154152196706
"Flumevale","Irrigation",5.634,0.08,3550,1960,0.00788,2,16.56,"Significant","Fair",0.1503,8.1,260.9,24.6
"Navaldia","Other",7.354,0.048,59500,1964,0.00788,2,6.42,"Significant","Not Rated",0.167,17.2,74.7,29.7466720886503
"Flumevale","Recreation",3.498,0.133,35851,1966,0.00788,2,1.59,"Significant","Fair",0.1333,11.7,704.8,4.9
"Navaldia","Other",4.199,0.043,91649.9999999999,1964,0.00788,3,3.07,"Significant","Not Rated",0.1619,44.7,473.7,23.4866933236747
"Navaldia","Flood Risk Reduction",4.068,0.125,165180,1986,0.09653,1,2.33,"High","Satisfactory",0.085,862.4,828.4,29.2880755943194
"Navaldia","Flood Risk Reduction",4.974,0.147,128015,1993,0.09653,2,20.08,"Significant","Not Rated",0.1355,310.9,31.4,28.6732752576252
"Navaldia","Recreation",5.32,0.067,43626,1964,0.00591,1,4.7,"High","Satisfactory",0.0907,42.2,713.7,5.9
"Navaldia","Flood Risk Reduction",3.487,0.16,88010.0000000001,1979,0.09653,2,13.15,"Significant","Fair",0.1276,388,302.4,15.3335335291035
"Navaldia","Recreation",6.437,0.05,89000,1964,0.00985,1,1.64,"High","Fair",0.1056,12.8,805.9,7.1
"Navaldia","Recreation",6.847,0.067,14961,1964,0.01182,2,10.3,"Significant","Satisfactory",0.1042,43.1,350,8.7
"Navaldia","Recreation",3.795,0.037,32000,1964,0.01576,2,16.83,"Significant","Fair",0.1444,27.9,276.7,6.6
"Lyndrassia","Recreation",10.489,0.027,18661,1964,0.00591,3,12.37,"Significant","Not Rated",0.1392,39.4,287.2,19.2479739226039
"Navaldia","Recreation",3.533,0.15,60000,1964,0.01773,5,1.61,"High","Not Rated",0.1054,43.2,904.3,4.7
"Navaldia","Flood Risk Reduction",8.065,0.083,75670,1965,0.00985,2,1.66,"Significant","Satisfactory",0.122,18.4,339.5,17.4779351714397
"Navaldia","Recreation",5.321,0.133,47560,1968,0.00788,5,1.87,"High","Not Rated",0.1004,9.5,590,3.1
"Navaldia","Recreation",3.854,0.073,35000,1964,0.01773,2,9.78,"Significant","Unsatisfactory",0.1767,14.6,169.9,14.806572168867
"Navaldia","Flood Risk Reduction",9.137,0.067,393060,1964,0.09653,2,1.66,"Significant","Satisfactory",0.1135,217.4,441.6,55.6564467792348
"Navaldia","Recreation",4.184,0.03,46948,1964,0.01773,5,1.67,"High","Satisfactory",0.0648,39.9,900.3,16.9344848533912
"Navaldia","Water Supply",8.504,0.055,26600,1915,0.01773,1,4.67,"High","Poor",0.1244,41.7,670.2,16.5
"Navaldia","Flood Risk Reduction",6.931,0.09,64243,1948,0,5,0.16,"High","Fair",0.0739,5.1,128.3,11.0818245320676
"Lyndrassia","Recreation",19.243,0.053,44000,1970,0.00394,3,0.1,"High","Satisfactory",0.0811,26.7,137,13.8561069870336
"Navaldia","Recreation",8.023,0.05,27100,1886,0.06501,1,4.84,"High","Fair",0.0816,22.7,612.4,7.2
"Navaldia","Recreation",5.04,0.083,10482,1964,0.09653,2,16.83,"Significant","Fair",0.1325,124.5,308.9,3.9
"Navaldia","Flood Risk Reduction",3.213,0.028,10675,1964,0.09653,2,27.06,"Significant","Fair",0.1296,78.2,288.6,14.0580432078906
"Navaldia","Flood Risk Reduction",5.496,0.167,115672,1995,0,3,18.44,"Significant","Fair",0.1507,19.3,311.1,30.79643007018
"Navaldia","Flood Risk Reduction",3.889,0.117,82220,1964,0.09653,2,13.15,"Significant","Fair",0.1215,451.1,348.9,10.5942113731614
"Navaldia","Recreation",4.689,0.07,58906,1982,0.01576,2,8.01,"Significant","Poor",0.137,18.6,32.5,6.1
"Navaldia","Recreation",6.739,0.073,30875,1986,0.01773,5,7.18,"Significant","Not Rated",0.1423,27,135.5,7.5
"Navaldia","Other",6.183,0.207,102530,1964,0.09653,2,6.16,"Significant","Not Rated",0.1592,342.4,186.7,31.0827221415528
"Navaldia","Flood Risk Reduction",6.5,0.2,73699.9999999999,1964,0.09653,2,23.31,"Significant","Not Rated",0.1676,188.6,94,33.5344091235796
"Lyndrassia","Recreation",17.885,0.14,75000,1964,0.07486,1,1.93,"High","Poor",0.1245,46.5,512.9,21.7749469947435
"Navaldia","Flood Risk Reduction",4.186,0.133,82220,1964,0.09653,2,9.73,"Significant","Poor",0.1478,460,314.3,24.5690324626568
"Navaldia","Recreation",5.126,0.092,46948,1964,0.01182,5,4.18,"High","Fair",0.0956,15.6,865.9,12.3948231736071
"Lyndrassia","Recreation",6.984,0.127,15000,1963,0.09653,3,71.71,"Significant","Not Rated",0.1273,249.2,191.3,4.9
"Navaldia","Recreation",4.179,0.092,46948,1964,0.01182,5,4.18,"High","Fair",0.1023,17.7,866.7,13.5852728257361
"Lyndrassia","Recreation",6.16,0.207,45000,1990,0.00788,3,1.66,"High","Not Rated",0.0874,17,667.1,7.3
"Navaldia","Recreation",3.234,0.183,44600,1964,0.02167,5,4.18,"High","Fair",0.0887,6.4,827.7,7.44143738078268
"Lyndrassia","Recreation",7.251,0.207,41000,1964,0.00788,3,8.14,"High","Not Rated",0.107,30.9,199.1,12.8153774601875
"Navaldia","Other",3.844,0.053,80341,1980,0.06107,5,11.73,"Significant","Fair",0.1067,26.3,473.8,9.14655900998359
"Navaldia","Recreation",5.107,0.06,42820,2003,0.00788,5,19.18,"Significant","Fair",0.0978,7,106.8,8.03282295991427
"Navaldia","Recreation",7.737,0.087,27100,1886,0.01379,1,4.84,"High","Fair",0.0935,16.7,579.3,6.7
"Flumevale","Recreation",2.778,0.1,698,1933,0.01773,2,11.12,"Significant","Satisfactory",0.1303,43.8,343.5,5.8
"Navaldia","Flood Risk Reduction",5.768,0.033,48450,2001,0.00394,2,4.73,"Significant","Not Rated",0.1646,15.1,465.8,23.1843285887727
"Navaldia","Recreation",9.04,0,23016,1964,0,5,2.96,"High","Not Rated",0.0697,11,943.9,10.7210609657552
"Navaldia","Recreation",7.259,0.05,32000,1964,0.00788,2,16.83,"Significant","Fair",0.1287,25.8,384,8.9
"Navaldia","Recreation",3.34,0.092,20300,1964,0.02167,2,3.38,"Significant","Unsatisfactory",0.166,47.1,308.9,7.5
"Navaldia","Flood Risk Reduction",1.775,0.25,58670,1990,0.00788,2,18.44,"Significant","Fair",0.1485,15.2,259.5,7.77285851506127
"Navaldia","Flood Risk Reduction",5.731,0.157,44309,1988,0.00788,2,13.15,"Significant","Fair",0.1396,33.6,463.7,6.20378830658205
"Navaldia","Recreation",7.149,0.103,11014,1992,0.09653,2,16.41,"Significant","Poor",0.153,369,339.1,5.3
"Navaldia","Recreation",15.943,0.08,27100,1934,0.00394,1,1.64,"High","Fair",0.0991,15,927.6,8.2
"Navaldia","Recreation",4.016,0.027,14961,1964,0.01379,2,13.42,"Significant","Satisfactory",0.1239,36,167.3,7.8
"Navaldia","Recreation",9.308,0.119,21280,1955,0.00591,5,4.75,"High","Fair",0.0597,20.6,382,8.1
"Navaldia","Recreation",8.192,0.117,35000,1964,0.01576,5,4.04,"High","Not Rated",0.103,31.9,884.7,10.5528361805741
"Navaldia","Flood Risk Reduction",9.677,0.117,59479,1934,0,5,0.16,"High","Fair",0.0813,32,224.1,15.2101432679983
"Navaldia","Other",11.062,0.058,44309,1982,0.00394,2,11.46,"Significant","Fair",0.1318,27.8,452.5,6.0516549373929
"Flumevale","Flood Risk Reduction",13.48,0.12,8900,2005,0.00788,1,3.27,"High","Fair",0.0965,8.6,531.1,20.1141024912541
"Lyndrassia","Recreation",7.043,0.207,45000,1991,0.00788,3,1.66,"High","Not Rated",0.0973,40.6,890.8,7.1
"Navaldia","Fire Protection, Stock, Or Small Fish Pond",4.331,0.167,47190,1990,0.01379,5,3.14,"Significant","Not Rated",0.0986,18.5,176.5,15.8812930002438
"Navaldia","Recreation",4.832,0.09,44600,1964,0.01379,5,4.18,"High","Fair",0.0869,12.8,818.5,7.28036958417251
"Navaldia","Flood Risk Reduction",5.431,0.067,101583,1964,0.09653,1,8.16,"High","Poor",0.1252,496.4,707.3,24.458131043583
"Navaldia","Recreation",4.727,0.15,6228,1964,0.01379,3,11.57,"Significant","Not Rated",0.1706,30.1,307.9,14.702021088513
"Navaldia","Recreation",5.356,0.037,18000,1927,0.03349,2,16.83,"Significant","Fair",0.1163,33.9,252.4,5.4
"Lyndrassia","Recreation",21.487,0.077,35000,1995,0.01576,2,3.07,"High","Satisfactory",0.0843,5.5,925.7,5.2
"Navaldia","Debris Control",10.437,0.133,165180,1959,0.09653,1,0.16,"High","Satisfactory",0.1016,721.2,807.1,26.7489853237265
"Navaldia","Water Supply",3.958,0.047,16000,1964,0.02955,5,0.16,"Significant","Not Rated",0.1305,14.5,311.2,48.5
"Navaldia","Recreation",6.356,0.093,14961,2003,0.00788,5,4.2,"Significant","Satisfactory",0.1111,32.5,436.1,10.9657935043826
"Lyndrassia","Recreation",7.922,0.207,40000,1990,0.00788,3,12.73,"Significant","Not Rated",0.1553,12.3,347.8,3.7
"Navaldia","Flood Risk Reduction",6.142,0.09,393060,1988,0.09653,2,4.91,"Significant","Satisfactory",0.1185,336.9,192.2,50.7712610649491
"Navaldia","Recreation",3.548,0.133,30356,1964,0.02561,3,11.57,"Significant","Not Rated",0.1422,21.4,70.1,11.1111714552157
"Navaldia","Recreation",3.964,0.05,17116,1970,0.01182,3,16.14,"Significant","Not Rated",0.1387,45,431.7,8.3
"Navaldia","Irrigation",4.836,0.158,160630,1987,0.01379,1,9.54,"High","Fair",0.1046,10.7,613.5,18.3
"Lyndrassia","Recreation",7.612,0.207,42500,1990,0.00788,3,12.73,"High","Not Rated",0.1459,19.4,317.7,7.1
"Navaldia","Recreation",4.802,0.1,89000,1964,0.02167,5,1.64,"High","Fair",0.0752,9.6,915.9,6.2
"Navaldia","Flood Risk Reduction",7.524,0.047,213700,1989,0.09653,1,1.67,"High","Fair",0.1191,918,861.2,35.7081486951837
"Lyndrassia","Flood Risk Reduction",14.225,0.117,45000,1992,0.01576,3,11.5,"High","Satisfactory",0.0924,42.4,216.5,14.1356146676417
"Navaldia","Recreation",2.789,0.093,32000,1964,0.03349,2,16.83,"Significant","Fair",0.1218,15.8,372.5,6.3
"Flumevale","Water Supply",7.349,0.06,45000,2007,0.00788,2,3.35,"Significant","Satisfactory",0.1222,33.1,879.3,54.1
"Flumevale","Water Supply",7.45,0.093,7400,1964,0.00788,2,4.63,"Significant","Satisfactory",0.1031,39.9,162.8,46.6
"Navaldia","Recreation",3.413,0.05,58906,2005,0.01182,2,6.58,"Significant","Satisfactory",0.1276,28.6,397.8,4.5
"Navaldia","Recreation",3.355,0.133,58906,1982,0.01576,2,16.41,"Significant","Poor",0.1463,27.5,271.9,3.4
"Navaldia","Recreation",4.415,0.127,84450.0000000001,1966,0.02167,5,4.18,"High","Fair",0.0828,15.2,796.2,8.66021360848087
"Navaldia","Flood Risk Reduction",4.56,0.197,10675,2005,0.09653,2,18.44,"Significant","Fair",0.155,66,247.2,12.8256252698137
"Navaldia","Recreation",3.434,0.035,115672,2000,0.00788,3,11.31,"Significant","Fair",0.1319,43.3,340,28.3509334381705
"Navaldia","Flood Risk Reduction",4.026,0.1,191130,1993,0.01576,5,6.19,"High","Satisfactory",0.0608,43.4,124.7,27.6258969326721
"Navaldia","Flood Risk Reduction",8.4,0.068,165180,1986,0.09653,1,2.33,"High","Satisfactory",0.0839,779,840.8,31.873941952675
"Navaldia","Recreation",6.792,0.105,30356,1964,0.01379,3,15.88,"Significant","Not Rated",0.1704,19.3,39,24.6690875826152
"Navaldia","Recreation",3.844,0.453,44600,1964,0.01773,5,4.18,"High","Fair",0.1005,19.8,694.2,7.00107592921339
"Navaldia","Recreation",8.337,0.072,58906,1914,0.01576,2,22.88,"Significant","Poor",0.1459,35.9,92.3,8.5
"Navaldia","Flood Risk Reduction",8.197,0.098,33082,1964,0.00985,2,27.06,"Significant","Fair",0.1534,43.3,397,6.41827428842242
"Navaldia","Recreation",6.562,0.098,53009,1966,0.02364,2,2.3,"High","Unsatisfactory",0.1339,42.9,626.6,15.8031090513071
"Navaldia","Flood Risk Reduction",9.16,0.06,165180,1990,0.09653,1,6.53,"High","Satisfactory",0.1008,849,693.6,27.9424572797355
"Flumevale","Debris Control",24.241,0.167,4900000,1938,0.00788,5,1.56,"High","Not Available",0.078,32.3,681.5,53.0727302789622
"Navaldia","Recreation",10.136,0.108,44700,1957,0.01773,5,9.24,"Low","Not Rated",0.0332,8.4,19.5,8.8
"Navaldia","Recreation",3.47,0.077,43626,1964,0.00591,2,2.48,"High","Poor",0.1284,11.7,706.5,4
"Navaldia","Flood Risk Reduction",3.762,0.127,144960,2004,0.09653,1,2.33,"High","Satisfactory",0.0764,905.6,853.3,25.2139669290208
